TrackName,TrackPopularity,TrackAlbumReleaseDate,PlaylistGenre,PlaylistSubGenre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
I Don't Care (with Justin Bieber) - Loud Luxury Remix,66,14/6/2019,pop,dance pop,0.748,0.916,6,-2.634,1,0.0583,0.102,0,0.0653,0.518,122.036,194754
Memories - Dillon Francis Remix,67,13/12/2019,pop,dance pop,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600
All the Time - Don Diablo Remix,70,5/7/2019,pop,dance pop,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616
Call You Mine - Keanu Silva Remix,60,19/7/2019,pop,dance pop,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
Someone You Loved - Future Humans Remix,69,5/3/2019,pop,dance pop,0.65,0.833,1,-4.672,1,0.0359,0.0803,0,0.0833,0.725,123.976,189052
Beautiful People (feat. Khalid) - Jack Wins Remix,67,11/7/2019,pop,dance pop,0.675,0.919,8,-5.385,1,0.127,0.0799,0,0.143,0.585,124.982,163049
Never Really Over - R3HAB Remix,62,26/7/2019,pop,dance pop,0.449,0.856,5,-4.788,0,0.0623,0.187,0,0.176,0.152,112.648,187675
Post Malone (feat. RANI) - GATTÜSO Remix,69,29/8/2019,pop,dance pop,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619
Tough Love - Tiësto Remix / Radio Edit,68,14/6/2019,pop,dance pop,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187
If I Can't Have You - Gryffin Remix,67,20/6/2019,pop,dance pop,0.642,0.818,2,-4.552,1,0.032,0.0567,0,0.0919,0.59,124.957,253040
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,58,21/6/2019,pop,dance pop,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894
